UF;MUNICIPIO;TIPO;QUANTIDADE
AC;SENA MADUREIRA;CAMINHAO TRATOR;8
AC;SENA MADUREIRA;CAMINHONETE;887
AC;SENA MADUREIRA;CAMIONETA;48
AC;SENA MADUREIRA;CHASSI PLATAF;0
AC;SENA MADUREIRA;CICLOMOTOR;21
AC;SENA MADUREIRA;MICRO-ONIBUS;4
AC;SENA MADUREIRA;MOTOCICLETA;4421
AC;SENA MADUREIRA;MOTONETA;1551
AC;SENA MADUREIRA;ONIBUS;10
AC;SENA MADUREIRA;QUADRICICLO;0
AC;SENA MADUREIRA;REBOQUE;64
AC;SENA MADUREIRA;SEMI-REBOQUE;11
AC;SENA MADUREIRA;SIDE-CAR;0
AC;SENA MADUREIRA;OUTROS;0
AC;SENA MADUREIRA;TRATOR ESTEI;0
AC;SENA MADUREIRA;TRATOR RODAS;0
AC;SENA MADUREIRA;TRICICLO;2
AC;SENA MADUREIRA;UTILITARIO;15
AC;SENADOR GUIOMARD;AUTOMOVEL;2141
AC;SENADOR GUIOMARD;BONDE;0
AC;SENADOR GUIOMARD;CAMINHAO;352
AC;SENADOR GUIOMARD;CAMINHAO TRATOR;66
AC;SENADOR GUIOMARD;CAMINHONETE;760
AC;SENADOR GUIOMARD;CAMIONETA;64
AC;SENADOR GUIOMARD;CHASSI PLATAF;0
AC;SENADOR GUIOMARD;CICLOMOTOR;17
AC;SENADOR GUIOMARD;MICRO-ONIBUS;8
AC;SENADOR GUIOMARD;MOTOCICLETA;2855
AC;SENADOR GUIOMARD;MOTONETA;425
AC;SENADOR GUIOMARD;ONIBUS;35
AC;SENADOR GUIOMARD;QUADRICICLO;0
AC;SENADOR GUIOMARD;REBOQUE;127
AC;SENADOR GUIOMARD;SEMI-REBOQUE;75
AC;SENADOR GUIOMARD;SIDE-CAR;1
AC;SENADOR GUIOMARD;OUTROS;0
AC;SENADOR GUIOMARD;TRATOR ESTEI;0
AC;SENADOR GUIOMARD;TRATOR RODAS;0
AC;SENADOR GUIOMARD;TRICICLO;3
AC;SENADOR GUIOMARD;UTILITARIO;14
AC;TARAUACA;AUTOMOVEL;590
AC;TARAUACA;BONDE;0
AC;TARAUACA;CAMINHAO;154
AC;TARAUACA;CAMINHAO TRATOR;17
AC;TARAUACA;CAMINHONETE;393
AC;TARAUACA;CAMIONETA;47
AC;TARAUACA;CHASSI PLATAF;0
AC;TARAUACA;CICLOMOTOR;6
AC;TARAUACA;MICRO-ONIBUS;22
AC;TARAUACA;MOTOCICLETA;2428
AC;TARAUACA;MOTONETA;1236
AC;TARAUACA;ONIBUS;23
AC;TARAUACA;QUADRICICLO;0
AC;TARAUACA;REBOQUE;16
AC;TARAUACA;SEMI-REBOQUE;17
AC;TARAUACA;SIDE-CAR;0
AC;TARAUACA;OUTROS;0
AC;TARAUACA;TRATOR ESTEI;0
AC;TARAUACA;TRATOR RODAS;0
AC;TARAUACA;TRICICLO;10
AC;TARAUACA;UTILITARIO;17
AC;XAPURI;AUTOMOVEL;823
AC;XAPURI;BONDE;0
AC;XAPURI;CAMINHAO;79
AC;XAPURI;CAMINHAO TRATOR;4
AC;XAPURI;CAMINHONETE;396
AC;XAPURI;CAMIONETA;25
AC;XAPURI;CHASSI PLATAF;1
AC;XAPURI;CICLOMOTOR;3
AC;XAPURI;MICRO-ONIBUS;4
AC;XAPURI;MOTOCICLETA;2588
AC;XAPURI;MOTONETA;308
AC;XAPURI;ONIBUS;6
AC;XAPURI;QUADRICICLO;0
AC;XAPURI;REBOQUE;43
AC;XAPURI;SEMI-REBOQUE;3
AC;XAPURI;SIDE-CAR;1
AC;XAPURI;OUTROS;0
AC;XAPURI;TRATOR ESTEI;0
AC;XAPURI;TRATOR RODAS;0
AC;XAPURI;TRICICLO;2
AC;XAPURI;UTILITARIO;10
AL;AGUA BRANCA;AUTOMOVEL;1051
AL;AGUA BRANCA;BONDE;0
AL;AGUA BRANCA;CAMINHAO;120
AL;AGUA BRANCA;CAMINHAO TRATOR;2
AL;AGUA BRANCA;CAMINHONETE;547
AL;AGUA BRANCA;CAMIONETA;41
AL;AGUA BRANCA;CHASSI PLATAF;0
AL;AGUA BRANCA;CICLOMOTOR;17
AL;AGUA BRANCA;MICRO-ONIBUS;94
