"Região Habilitação Atual,""UF Habilitação Atual"",""Sexo"",""Faixa Etária"",""Categoria"",""Qt. Condutor Histórico"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""31 a 40"",""A-Condutor Moto"",""1.092"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""31 a 40"",""AB-Condutor Moto/Carro"",""22.701"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""31 a 40"",""AC-Condutor Moto/Caminhão"",""4"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""31 a 40"",""AD-Condutor Moto/Ônibus"",""699"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""31 a 40"",""AE-Condutor Moto/Carreta"",""49"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""31 a 40"",""B-Condutor Carro"",""170.964"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""31 a 40"",""C-Condutor Caminhão"",""1"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""31 a 40"",""D-Condutor Ônibus"",""1.126"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""31 a 40"",""E-Condutor Carreta"",""11"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""41 a 50"",""A-Condutor Moto"",""498"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""41 a 50"",""AB-Condutor Moto/Carro"",""9.827"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""41 a 50"",""AC-Condutor Moto/Caminhão"",""40"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""41 a 50"",""AD-Condutor Moto/Ônibus"",""649"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""41 a 50"",""AE-Condutor Moto/Carreta"",""45"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""41 a 50"",""B-Condutor Carro"",""139.876"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""41 a 50"",""C-Condutor Caminhão"",""63"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""41 a 50"",""D-Condutor Ônibus"",""1.591"""
